transaction_month,town,flat_type,block_no,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Remaining_months,flat_Storey_range,Flat_type_range
2020-12,BISHAN,4 ROOM,441,SIN MING AVE,10 TO 12,103,Model A,1990,68 years 03 months,570000,819,2,4
2020-12,BISHAN,4 ROOM,449,SIN MING AVE,01 TO 03,105,Model A,1990,68 years 04 months,540000,820,1,4
2020-12,BISHAN,5 ROOM,149,BISHAN ST 11,04 TO 06,122,Improved,1987,65 years 02 months,660000,782,1,5
2020-12,BISHAN,5 ROOM,140,BISHAN ST 12,07 TO 09,123,Improved,1988,66 years 09 months,698000,801,2,5
2020-12,BISHAN,5 ROOM,135,BISHAN ST 12,10 TO 12,121,Improved,1987,65 years 07 months,723000,787,2,5
2020-12,BISHAN,5 ROOM,125,BISHAN ST 12,04 TO 06,121,Improved,1987,65 years 07 months,670000,787,1,5
2020-12,BISHAN,5 ROOM,136,BISHAN ST 12,07 TO 09,122,Improved,1987,66 years,655000,792,2,5
2020-12,BISHAN,5 ROOM,141,BISHAN ST 12,07 TO 09,119,Improved,1988,66 years 08 months,678500,800,2,5
2020-12,BISHAN,5 ROOM,142,BISHAN ST 12,07 TO 09,130,Improved,1988,66 years 08 months,780000,800,2,5
2020-12,BISHAN,5 ROOM,194,BISHAN ST 13,07 TO 09,121,Improved,1987,65 years 06 months,820000,786,2,5
2020-12,BISHAN,5 ROOM,155,BISHAN ST 13,13 TO 15,131,Improved,1987,66 years,763888,792,3,5
2020-12,BISHAN,5 ROOM,157,BISHAN ST 13,13 TO 15,131,Improved,1988,66 years 02 months,780000,794,3,5
2020-12,BISHAN,5 ROOM,153,BISHAN ST 13,01 TO 03,130,Improved,1987,65 years 10 months,608000,790,1,5
2020-12,BISHAN,5 ROOM,163,BISHAN ST 13,13 TO 15,131,Improved,1988,66 years 08 months,758000,800,3,5
2020-12,BISHAN,5 ROOM,192,BISHAN ST 13,01 TO 03,120,Improved,1987,65 years 08 months,625000,788,1,5
2020-12,BISHAN,5 ROOM,182,BISHAN ST 13,07 TO 09,121,Improved,1987,65 years 07 months,790000,787,2,5
2020-12,BISHAN,5 ROOM,237,BISHAN ST 22,04 TO 06,121,Improved,1992,70 years 05 months,840000,845,1,5
2020-12,BISHAN,5 ROOM,242,BISHAN ST 22,07 TO 09,121,Improved,1992,70 years 08 months,880800,848,2,5
2020-12,BISHAN,5 ROOM,237,BISHAN ST 22,04 TO 06,127,Improved,1992,70 years 05 months,810000,845,1,5
2020-12,BISHAN,5 ROOM,275A,BISHAN ST 24,34 TO 36,120,DBSS,2011,89 years 09 months,1180000,1077,3,5
2020-12,BISHAN,5 ROOM,275A,BISHAN ST 24,37 TO 39,120,DBSS,2011,89 years 09 months,1075000,1077,3,5
2020-12,BISHAN,5 ROOM,273B,BISHAN ST 24,25 TO 27,120,DBSS,2011,89 years 09 months,1218888,1077,3,5
2020-12,BISHAN,5 ROOM,447,BRIGHT HILL DR,13 TO 15,120,Improved,1990,68 years 02 months,715000,818,3,5
2020-12,BISHAN,5 ROOM,312,SHUNFU RD,10 TO 12,121,Improved,1985,63 years 07 months,730000,763,2,5
2020-12,BISHAN,5 ROOM,453,SIN MING AVE,10 TO 12,125,Improved,1990,68 years 03 months,700000,819,2,5
2020-12,BISHAN,EXECUTIVE,134,BISHAN ST 12,10 TO 12,151,Apartment,1986,65 years,908000,780,2,6
2020-12,BISHAN,EXECUTIVE,102,BISHAN ST 12,22 TO 24,150,Maisonette,1987,65 years 01 month,980000,781,3,6
2020-12,BISHAN,EXECUTIVE,174,BISHAN ST 13,01 TO 03,146,Maisonette,1986,65 years,850000,780,1,6
2020-12,BISHAN,EXECUTIVE,160,BISHAN ST 13,01 TO 03,149,Maisonette,1987,65 years 09 months,825000,789,1,6
2020-12,BISHAN,EXECUTIVE,186,BISHAN ST 13,01 TO 03,146,Maisonette,1987,65 years 09 months,905000,789,1,6
2020-12,BISHAN,EXECUTIVE,190,BISHAN ST 13,19 TO 21,150,Maisonette,1987,65 years 02 months,1058000,782,3,6
2020-12,BISHAN,EXECUTIVE,186,BISHAN ST 13,04 TO 06,146,Maisonette,1987,65 years 08 months,908888,788,1,6
2020-12,BISHAN,EXECUTIVE,257,BISHAN ST 22,07 TO 09,147,Maisonette,1992,70 years 09 months,860000,849,2,6
2020-12,BISHAN,EXECUTIVE,245,BISHAN ST 22,04 TO 06,147,Maisonette,1992,70 years 09 months,860000,849,1,6
2020-12,BISHAN,EXECUTIVE,231,BISHAN ST 23,04 TO 06,146,Maisonette,1992,70 years 05 months,910000,845,1,6
2020-12,BISHAN,EXECUTIVE,212,BISHAN ST 23,01 TO 03,149,Maisonette,1992,70 years 05 months,880000,845,1,6
